v-sweep,v(Vout)
0,3.56972689E-05
0.01,4.32840639E-05
0.02,5.54165781E-05
0.03,6.97084967E-05
0.04,8.81144411E-05
0.05,0.000111796481
0.06,0.000142220236
0.07,0.000181230115
0.08,0.000231157386
0.09,0.00029495439
0.1,0.000376385512
0.11,0.000480279981
0.12,0.000612834164
0.13,0.000781932551
0.14,0.000997387215
0.15,0.00127100991
0.16,0.00161650884
0.17,0.00204930509
0.18,0.00258648944
0.19,0.00324707035
0.2,0.00405252113
0.21,0.00502760868
0.22,0.0062014815
0.23,0.00760908364
0.24,0.00929315376
0.25,0.0113071943
0.26,0.0137203556
0.27,0.0166259604
0.28,0.0201575789
0.29,0.0245219872
0.3,0.030074152
0.31,0.037584141
0.32,0.0487908872
0.33,0.0703420046
0.34,0.929316241
0.35,1.74774308
0.36,1.76487989
0.37,1.7739497
0.38,1.77915615
0.39,1.78320322
0.4,1.78645751
0.41,1.78902273
0.42,1.79106977
0.43,1.7927224
0.44,1.7940649
0.45,1.79515886
0.46,1.796051
0.47,1.79677774
0.48,1.79736811
0.49,1.79784569
0.5,1.79822995
0.51,1.79853722
0.52,1.79878132
0.53,1.79897395
0.54,1.79912503
0.55,1.7992429
0.56,1.79933444
0.57,1.79940529
0.58,1.79945998
0.59,1.7995021
0.6,1.79953446
0.61,1.79955928
0.62,1.79957827
0.63,1.79959277
0.64,1.7996038
0.65,1.79961216
0.66,1.79961849
0.67,1.79962326
0.68,1.79962684
0.69,1.79962953
0.7,1.79963153
0.71,1.79963302
0.72,1.79963413
0.73,1.79963495
0.74,1.79963555
0.75,1.799636
0.76,1.79963633
0.77,1.79963657
0.78,1.79963675
0.79,1.79963688
0.8,1.79963698
0.81,1.79963705
0.82,1.7996371
0.83,1.79963714
0.84,1.79963716
0.85,1.79963719
0.86,1.7996372
0.87,1.79963721
0.88,1.79963722
0.89,1.79963722
0.9,1.79963723
0.91,1.79963723
0.92,1.79963723
0.93,1.79963723
0.94,1.79963724
0.95,1.79963724
0.96,1.79963724
0.97,1.79963724
0.98,1.79963724
0.99,1.79963724
1,1.79963724
1.01,1.79963724
1.02,1.79963724
1.03,1.79963724
1.04,1.79963724
1.05,1.79963724
1.06,1.79963724
1.07,1.79963724
1.08,1.79963724
1.09,1.79963724
1.1,1.79963724
1.11,1.79963724
1.12,1.79963724
1.13,1.79963724
1.14,1.79963724
1.15,1.79963724
1.16,1.79963724
1.17,1.79963724
1.18,1.79963724
1.19,1.79963724
1.2,1.79963724
1.21,1.79963724
1.22,1.79963724
1.23,1.79963724
1.24,1.79963724
1.25,1.79963724
1.26,1.79963724
1.27,1.79963724
1.28,1.79963724
1.29,1.79963724
1.3,1.79963724
1.31,1.79963724
1.32,1.79963724
1.33,1.79963724
1.34,1.79963724
1.35,1.79963724
1.36,1.79963724
1.37,1.79963724
1.38,1.79963724
1.39,1.79963724
1.4,1.79963724
1.41,1.79963724
1.42,1.79963724
1.43,1.79963724
1.44,1.79963724
1.45,1.79963724
1.46,1.79963724
1.47,1.79963724
1.48,1.79963724
1.49,1.79963724
1.5,1.79963724
1.51,1.79963724
1.52,1.79963724
1.53,1.79963724
1.54,1.79963724
1.55,1.79963724
1.56,1.79963724
1.57,1.79963724
1.58,1.79963724
1.59,1.79963724
1.6,1.79963724
1.61,1.79963724
1.62,1.79963724
1.63,1.79963724
1.64,1.79963724
1.65,1.79963724
1.66,1.79963724
1.67,1.79963724
1.68,1.79963724
1.69,1.79963724
1.7,1.79963724
1.71,1.79963724
1.72,1.79963724
1.73,1.79963724
1.74,1.79963724
1.75,1.79963724
1.76,1.79963724
1.77,1.79963724
1.78,1.79963724
1.79,1.79963724
1.8,1.79963724
