 v-sweep         v-sweep         vmeas#branch   
 2.00000000e-01  2.00000000e-01 -8.47215382e-07 
 2.10000000e-01  2.10000000e-01 -8.45954865e-07 
 2.20000000e-01  2.20000000e-01 -8.44023319e-07 
 2.30000000e-01  2.30000000e-01 -8.41791156e-07 
 2.40000000e-01  2.40000000e-01 -8.38992648e-07 
 2.50000000e-01  2.50000000e-01 -8.35490983e-07 
 2.60000000e-01  2.60000000e-01 -8.31123955e-07 
 2.70000000e-01  2.70000000e-01 -8.25701175e-07 
 2.80000000e-01  2.80000000e-01 -8.19003191e-07 
 2.90000000e-01  2.90000000e-01 -8.10781870e-07 
 3.00000000e-01  3.00000000e-01 -8.00761946e-07 
 3.10000000e-01  3.10000000e-01 -7.88642975e-07 
 3.20000000e-01  3.20000000e-01 -7.74102059e-07 
 3.30000000e-01  3.30000000e-01 -7.56796343e-07 
 3.40000000e-01  3.40000000e-01 -7.36367138e-07 
 3.50000000e-01  3.50000000e-01 -7.12444837e-07 
 3.60000000e-01  3.60000000e-01 -6.84657383e-07 
 3.70000000e-01  3.70000000e-01 -6.52642207e-07 
 3.80000000e-01  3.80000000e-01 -6.16063200e-07 
 3.90000000e-01  3.90000000e-01 -5.74632871e-07 
 4.00000000e-01  4.00000000e-01 -5.28139520e-07 
 4.10000000e-01  4.10000000e-01 -4.76478313e-07 
 4.20000000e-01  4.20000000e-01 -4.19684355e-07 
 4.30000000e-01  4.30000000e-01 -3.57963017e-07 
 4.40000000e-01  4.40000000e-01 -2.91713640e-07 
 4.50000000e-01  4.50000000e-01 -2.21540400e-07 
 4.60000000e-01  4.60000000e-01 -1.48246357e-07 
 4.70000000e-01  4.70000000e-01 -7.28069622e-08 
 4.80000000e-01  4.80000000e-01  3.67617403e-09 
 4.90000000e-01  4.90000000e-01  8.00376050e-08 
 5.00000000e-01  5.00000000e-01  1.55118293e-07 
 5.10000000e-01  5.10000000e-01  2.27835859e-07 
 5.20000000e-01  5.20000000e-01  2.97244064e-07 
 5.30000000e-01  5.30000000e-01  3.62576195e-07 
 5.40000000e-01  5.40000000e-01  4.23267640e-07 
 5.50000000e-01  5.50000000e-01  4.78959016e-07 
 5.60000000e-01  5.60000000e-01  5.29482499e-07 
 5.70000000e-01  5.70000000e-01  5.74836566e-07 
 5.80000000e-01  5.80000000e-01  6.15154899e-07 
 5.90000000e-01  5.90000000e-01  6.50673396e-07 
 6.00000000e-01  6.00000000e-01  6.81699525e-07 
 6.10000000e-01  6.10000000e-01  7.08585507e-07 
 6.20000000e-01  6.20000000e-01  7.31706379e-07 
 6.30000000e-01  6.30000000e-01  7.51443295e-07 
 6.40000000e-01  6.40000000e-01  7.68170960e-07 
 6.50000000e-01  6.50000000e-01  7.82248584e-07 
 6.60000000e-01  6.60000000e-01  7.94014142e-07 
 6.70000000e-01  6.70000000e-01  8.03780129e-07 
 6.80000000e-01  6.80000000e-01  8.11831420e-07 
 6.90000000e-01  6.90000000e-01  8.18424315e-07 
 7.00000000e-01  7.00000000e-01  8.23786596e-07 
 7.10000000e-01  7.10000000e-01  8.28118544e-07 
 7.20000000e-01  7.20000000e-01  8.31594427e-07 
 7.30000000e-01  7.30000000e-01  8.34364581e-07 
 7.40000000e-01  7.40000000e-01  8.36557316e-07 
 7.50000000e-01  7.50000000e-01  8.38281487e-07 
 7.60000000e-01  7.60000000e-01  8.39628282e-07 
 7.70000000e-01  7.70000000e-01  8.40673728e-07 
 7.80000000e-01  7.80000000e-01  8.41480283e-07 
 7.90000000e-01  7.90000000e-01  8.42098970e-07 
 8.00000000e-01  8.00000000e-01  8.42571019e-07 
