v-sweep i(Vmeas)
0.2 -8.4873686E-07
0.21 -8.47475437E-07
0.22 -8.45542552E-07
0.23 -8.43308737E-07
0.24 -8.40508278E-07
0.25 -8.37004162E-07
0.26 -8.32634139E-07
0.27 -8.27207764E-07
0.28 -8.20505456E-07
0.29 -8.12278937E-07
0.3 -8.02252845E-07
0.31 -7.90126627E-07
0.32 -7.7557721E-07
0.33 -7.58261688E-07
0.34 -7.37821129E-07
0.35 -7.13885793E-07
0.36 -6.86083418E-07
0.37 -6.54051423E-07
0.38 -6.17453555E-07
0.39 -5.76002176E-07
0.4 -5.29485604E-07
0.41 -4.77799087E-07
0.42 -4.20977834E-07
0.43 -3.59227418E-07
0.44 -2.92947387E-07
0.45 -2.22742315E-07
0.46 -1.49415698E-07
0.47 -7.39434149E-08
0.48 2.57249155E-09
0.49 7.89660497E-08
0.5 1.54078034E-07
0.51 2.26825552E-07
0.52 2.96262375E-07
0.53 3.61621566E-07
0.54 4.2233858E-07
0.55 4.78054154E-07
0.56 5.28600523E-07
0.57 5.73976429E-07
0.58 6.1431555E-07
0.59 6.49854172E-07
0.6 6.80899827E-07
0.61 7.07804777E-07
0.62 7.30944066E-07
0.63 7.50698991E-07
0.64 7.67443996E-07
0.65 7.81538287E-07
0.66 7.9331959E-07
0.67 8.03100232E-07
0.68 8.11164981E-07
0.69 8.17769919E-07
0.7 8.23142795E-07
0.71 8.27483987E-07
0.72 8.30967714E-07
0.73 8.3374437E-07
0.74 8.35942533E-07
0.75 8.37671028E-07
0.76 8.39021354E-07
0.77 8.40069532E-07
0.78 8.40878265E-07
0.79 8.41498661E-07
0.8 8.41972021E-07
